title,category,city,address,contact,description,price,source,source_url
"马德里华夏集团餐饮设备","生意","Madrid","","微信: jn610739671","平台代登记商家信息，商家待认领。公开信息显示其销售酒水冰箱、冰柜、制冰机、工作台冰箱、tapa机、洗碗机、masa机、水槽、展柜、煮面机、奶茶设备、中西式炉头、餐馆酒吧桌椅、buffet设备等餐饮设备，可全西班牙发货。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://xbyhr.com/S1074650.html"
"专业厨具设备生产及供应商","生意","Madrid","","联系人: 小米；电话/微信: 722222968","平台代登记商家信息，商家待认领。公开信息显示业务范围涵盖 WOK、中餐馆、Buffet Libre、日本餐、大型超市、糖果店、水果店、酒吧等设备，可按客户需求定做并提供餐饮设备解决方案。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://www.xbyhr.com/S834183.html"
"阿海装修维修","服务","Barcelona","","电话: 695254297","平台代登记商家信息，商家待认领。公开信息显示承接住家、酒吧、餐馆、百元店装修维修，包括泥水、水电、木工、电焊等。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://xbyhr.com/S1107922.html"
"鸿业各种维修","服务","Madrid","","电话/微信: 695919628","平台代登记商家信息，商家待认领。公开信息显示承接水电安装、家具安装、门锁安装及更换、木工等维修业务。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://xbyhr.com/S323286.html"
"西班牙通华国际物流专线","服务","全西班牙","","微信/邮箱: th-leo666；电话: 136 0975 1889；邮箱: 18218888186@163.com","平台代登记商家信息，商家待认领。公开信息显示提供西班牙通华物流专线、快速直达、全球网络覆盖等国际物流服务。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://www.xbyhr.com/S1063117.html"
"速欧速运","服务","Madrid","","电话: 916422388","平台代登记商家信息，商家待认领。公开信息显示专注跨境物流、国际快递、直邮快件、阳光清关等业务。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://www.xbyhr.com/S321077.html"
"Duamar海岸国际物流报关公司","服务","Barcelona","","电话: 932493114","平台代登记商家信息，商家待认领。公开信息显示提供国际贸易、空运、海运、快递、报关、仓储等综合物流服务。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://www.xbyhr.com/S321079.html"
"马德里佳泰物流","服务","Madrid","C/CORULLON 20-22, Fuenlabrada, Madrid","电话: 916421495 / 916422261 / 656699025","平台代登记商家信息，商家待认领。公开信息显示位于 Fuenlabrada，提供物流运输服务。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://www.xbyhr.com/S23013.html"
"季方律师事务所 · 马德里","服务","全西班牙","","微信: JIFANGABOGADO","平台代登记商家信息，商家待认领。公开信息显示执业领域包括外国人及移民法、刑事法、民事及家庭法、国际法；业务含各类居留、合法化方案、文件公证认证、购房法律审查等。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://www.xbyhr.com/thread-1205161-1-1.html"
"阳光商务律师事务所","服务","Madrid","Calle Gran Via 59, Planta 6 Izquierda, 28013 Madrid","电话: 913605576 / 687410888 / 678594649；邮箱: chinasunconsulting@hotmail.com","平台代登记商家信息，商家待认领。公开信息显示提供法律、商务、移民等服务，位于马德里 Gran Via。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://www.xbyhr.com/S321659.html"
"Minyana律师会计事务所","服务","Madrid","","中文电话: 678 847 233；微信: abogadosvalencia；邮箱: juridico@minyanabeltran.com","平台代登记商家信息，商家待认领。公开信息显示 Miñana & Beltrán 会计律师事务所成立于1998年，专注法律、税务、商业和劳资咨询。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://www.xbyhr.com/S17805.html"
"马德里专业陪同翻译","服务","Madrid","","微信: jiajia_1094；电话: 693949514","平台代登记商家信息，商家待认领。公开信息显示提供商务陪同、房屋买卖、法院、警察局、市政府、领事部、公证处、移民局、医院等陪同翻译服务。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://www.xbyhr.com/S253837.html"
"西班牙中国律师事务所","服务","Madrid","","Madrid 电话: 91 540 0600；Valencia 电话: 96 360 3720 / 658 844 326","平台代登记商家信息，商家待认领。公开信息显示由西班牙律师公会律师主持，提供西班牙和中国法律相关服务，支持西语、国语、青田话、温州话等。资料来自西班牙华人网公开页面。","面议","xbyhr.com public listing","https://www.xbyhr.com/S85745.html"
